id_usuario,recencia,frecuencia,valor_monetario,tasa_abandonos,cluster,pca_1,pca_2
1,46,3,1419.3000000000002,0.3621780831931538,2,-0.6751102318934998,-0.42633243728691567
2,232,3,3415.2,0.7655000144869414,3,-1.176464538173376,1.60094473797722
3,51,6,6727.2699999999995,0.6123957592679836,1,1.357821590199969,0.8537834802178353
4,225,4,419.48,0.5190609389379257,3,-1.4976890961645566,0.34685216974947575
5,447,1,153.98,0.20921304830970558,3,-3.547752706669115,-1.1757045726582103
6,134,5,778.83,0.20919616423534187,2,-0.6556559702462157,-1.1951196998687952
7,158,3,3313.27,0.14065852851773963,2,-0.8083811848565394,-1.5050618481307314
8,56,2,2199.84,0.7063233020424546,0,-0.8617963734958454,1.293097466260562
9,165,5,753.1,0.5207805082202462,0,-0.8266559322589143,0.35282145569549284
10,32,5,1362.71,0.5956508044572318,0,-0.030181297978774783,0.7251356246469869
11,75,11,7856.64,0.11440914600706172,1,2.9927916903779646,-1.6245017824762675
12,16,6,2466.39,0.778936896513396,0,0.5852016390186612,1.6411245162449046
13,15,7,5516.55,0.6827098485602953,1,1.5653238231788529,1.1873452692993776
14,41,7,3120.26,0.24863737747479334,2,0.9204107572897816,-0.9884039879347911
15,146,6,1212.92,0.22727747704497045,2,-0.3225586713877095,-1.104362192821908
16,60,6,3321.71,0.22838315689740368,2,0.5730403803611466,-1.0831032675810408
17,68,5,1302.18,0.3129695700716765,2,-0.21384204010105734,-0.6776093350419334
18,92,4,1670.52,0.4673295021425665,0,-0.5551726523547105,0.09634157749955773
19,56,8,3061.1800000000003,0.4023615130494811,2,1.1249499761143347,-0.22849073818087715
20,81,9,2727.02,0.30386039813862936,2,1.2272325654298022,-0.7229900130913903
21,23,6,1366.69,0.5282970263056657,0,0.3156023584398789,0.38706930487780467
22,39,7,4729.16,0.19764570245642932,2,1.2877438036570525,-1.2272083490281538
23,7,6,9020.619999999999,0.3045012539746528,1,2.094853924999697,-0.6559561336455483
24,118,6,5220.03,0.35645329030558426,1,0.6986583115170657,-0.4280507090564313
25,105,6,13026.369999999999,0.4192489889519252,1,2.4869685298590762,-0.046656695579138215
26,120,5,4885.43,0.6496231729751095,0,0.3071544954660991,1.0279775896606025
27,72,3,1811.31,0.23977164751085184,2,-0.7141938832676714,-1.0296100486231863
28,29,7,3306.36,0.45996410688952816,2,1.0143647685146624,0.062072888343808384
29,28,7,5754.59,0.5146901982034298,1,1.5586687843284188,0.35573506295576574
30,90,5,1055.69,0.1325152889039984,2,-0.37212715042407507,-1.574977245180168
31,4,7,4147.82,0.5252813963310069,1,1.3230193937836099,0.3930115130151539
32,16,5,3328.09,0.2193668865811041,2,0.4968175668115984,-1.126075135872324
33,131,7,3314.6,0.14553611508969566,2,0.5173466645615077,-1.4952503003384094
34,45,5,3222.01,0.7642198760773333,0,0.3101940383376014,1.579261238973046
35,66,6,1961.6100000000001,0.7759424231521916,0,0.22400966391742086,1.623564472949488
36,41,9,3008.88,0.6658781436815229,0,1.4771225388413023,1.0755046141800766
37,246,3,1725.82,0.31322963842135954,3,-1.6045789822958458,-0.6592526182451073
38,41,3,2524.69,0.16837047980446873,2,-0.39928176944131777,-1.3788559787217733
39,225,5,9751.69,0.5789631185585099,1,0.8607549137508979,0.7247018867761834
40,86,4,1190.82,0.408106745617721,2,-0.6292450467769068,-0.20223002971782683
41,295,4,2807.42,0.1854267643913452,3,-1.3082376626005803,-1.2856421623019585
42,47,8,5305.9,0.4466238370778892,1,1.6645775257167157,0.011096753972275547
43,12,6,958.71,0.12407196478065288,2,0.2939673558338326,-1.6239956575863015
44,9,5,1911.3400000000001,0.7365242814551475,0,0.2012148609621804,1.4286588530843862
45,8,5,825.56,0.2811459871200119,2,-0.018461290148954583,-0.8421020292711515
46,34,4,5264.42,0.5637655990477874,0,0.5256415970611833,0.6052849178298029
47,276,5,1141.59,0.3181977532625877,3,-1.2883381805959522,-0.6454394555922189
48,120,8,3808.65,0.46404761482446766,1,0.9684548020517502,0.08684981188981804
49,112,4,1634.1200000000001,0.4826971955402958,0,-0.6636226044377619,0.17305202899773356
50,143,8,1313.78,0.22939811886786896,2,0.31002224238646686,-1.0997501065186015
51,166,6,4098.89,0.778709239435191,0,0.19690208036620935,1.6601708478925739
52,112,5,4029.5300000000007,0.6425929763527802,0,0.15815950154062042,0.9850933180159162
53,117,4,1582.22,0.7576492590949324,0,-0.7093211228593777,1.5379204636934778
54,131,5,5389.15,0.7263791452993542,0,0.3609743281795802,1.4140021114915062
55,141,3,1300.12,0.5185299851677596,0,-1.181179098395187,0.3523879570672468
56,75,6,7079.32,0.7453119645161819,1,1.3112997548599399,1.5177628920846131
57,65,3,1126.96,0.16194475143634365,2,-0.8278811331750293,-1.4224263488619002
58,67,5,3317.25,0.23718800369340165,2,0.23911008023277824,-1.0358131553394423
59,61,6,6971.4400000000005,0.13165910223737665,1,1.3780306466252823,-1.5305373002556382
60,155,5,3128.85,0.3277312315342851,2,-0.24508349229970416,-0.5847151026033269
61,9,3,807.87,0.3720741027826374,2,-0.6258018221990013,-0.38404934230760446
62,210,3,252.32999999999998,0.28994432224172717,3,-1.7496960105460522,-0.7894196234130054
63,159,5,6941.31,0.6801162564063505,1,0.5657761716928073,1.1992708446982865
64,37,4,3013.6299999999997,0.3497273286855125,2,0.020353097017201175,-0.4775237210478592
65,30,6,2358.11,0.2966541567811666,2,0.5075805302721088,-0.7538899032195071
66,10,8,2299.14,0.47988725821077394,0,1.1836405340880018,0.14789384659587437
67,84,3,168.21,0.19864695748233385,2,-1.1359292237034486,-1.2481070463237134
68,62,5,1617.3500000000001,0.6615378865278277,0,-0.1259442984819269,1.0556583501413843
69,157,3,208.51,0.1521854505758396,2,-1.4900446477217444,-1.4757427705676394
70,34,3,1845.77,0.7908208556203622,0,-0.5353402156324395,1.7052873596046965
71,402,1,173.12,0.6405713385076602,3,-3.3332961151679443,0.964526456900334
72,105,5,3089.1,0.2391009770739207,2,-0.0011692149697330933,-1.0269653340529163
73,14,2,339.29,0.10386548198652168,2,-1.0430072574488205,-1.7163852963875144
74,137,6,3199.75,0.6708229999183839,0,0.14662547013616947,1.1153704529639925
75,207,6,6753.46,0.594800140693332,1,0.5850850902251676,0.772395673705241
76,87,3,710.23,0.6103050176286912,0,-1.0449617323611284,0.8007722189456595
77,221,4,667.44,0.639889242680162,3,-1.4269702436904426,0.948849711192894
78,393,1,348.92,0.15183125621386326,3,-3.233037480385063,-1.4608446976374243
79,169,2,462.6,0.3509260099809909,3,-1.7981905698539271,-0.48290720945668186
80,115,6,5100.26,0.18110834166759082,2,0.693069764938665,-1.2998326838917706
81,114,5,3205.6800000000003,0.7041723981129155,0,-0.03600408117571538,1.283514872596259
82,30,4,3182.88,0.5363086887792906,0,0.08644382837896186,0.45012387979816854
83,446,1,147.29,0.33162861739685445,3,-3.5483576314577654,-0.5680021497883099
84,58,9,2131.75,0.14449084520021654,2,1.2158896275477122,-1.52045852624421
85,401,1,36.4,0.3176876252009636,3,-3.347653768532097,-0.6398712890603561
86,64,4,769.21,0.327628325418723,2,-0.609852364233688,-0.6064042231518249
87,37,5,1939.4099999999999,0.6107243248366448,0,0.07181219248322501,0.8053382277725541
88,57,9,2881.12,0.5462902299486493,1,1.3729985621732999,0.48118642694824576
89,2,6,1640.92,0.7210489198034287,0,0.47461077774908655,1.345781318766501
90,84,7,3175.85,0.4305504476133646,2,0.7118182204786313,-0.08311536959780565
91,252,8,3717.67,0.1837159721568112,2,0.29852728646024124,-1.3009703001640407
92,55,3,490.09,0.5992713510560965,0,-0.9334306069020536,0.7428355466994453
93,41,2,363.06,0.6325495340318282,0,-1.1903960692144155,0.9097637705413756
94,20,10,5327.09,0.4928940382986474,1,2.39792653497815,0.23331514884636584
95,152,5,2006.23,0.6396770259681928,0,-0.4887422303746187,0.953921266976668
96,160,5,2359.29,0.4456569174550735,2,-0.4441265812948299,-0.005933765818558048
97,13,7,2535.17,0.46591298056739583,0,0.9236117793109254,0.08409653073476528
98,113,3,1916.17,0.3992787128509848,2,-0.9011530014312096,-0.23519956403253628
99,147,7,6431.86,0.11779338872086664,1,1.1274037594133044,-1.6044174706704457
100,256,4,5393.16,0.17552399889531312,3,-0.5415782065318467,-1.3130290404021794
101,19,8,14972.27,0.12200042998071398,1,3.951980727423636,-1.5149158264582425
102,86,6,1831.49,0.5454872878846463,0,0.1031184657504297,0.4789111057865132
103,39,8,9048.19,0.3200491867534287,1,2.5359809418918693,-0.58404706498982
104,92,5,5658.0,0.455999483815292,1,0.6242808396826993,0.07253268672604857
105,23,5,1682.76,0.7352965317482651,0,0.08081050663932429,1.4210258692505824
106,173,6,1767.87,0.27450456040421245,2,-0.33633063084949394,-0.863901349530185
107,32,5,5338.09,0.3872680461249408,2,0.8555427716199019,-0.27380230125564486
108,26,6,3459.66,0.6288857969801341,0,0.759859306758666,0.9053994321834854
109,40,7,3343.7,0.26015871584413575,2,0.9744060132618876,-0.9292306360967382
110,66,4,6144.380000000001,0.15388593688015512,2,0.5741237392709433,-1.4207095170248072
111,33,8,3350.8599999999997,0.30282601703963763,2,1.307200556066916,-0.7209347757617415
112,37,4,2373.85,0.2128549010778031,2,-0.11645542222818961,-1.162846232098408
113,150,5,6554.58,0.7507883566398011,0,0.5228644306316599,1.5463578874496444
114,44,6,3551.44,0.6656842656950919,0,0.6890093263245993,1.0895919936271756
115,26,6,7971.05,0.5433826295572964,1,1.759925787599853,0.5213772078595909
116,255,5,4395.110000000001,0.7100224131314025,3,-0.4774944018054352,1.3284279092844646
117,53,4,1995.26,0.6625704538293802,0,-0.29518518534067056,1.0672030617078134
118,209,2,924.35,0.2305990412202251,3,-1.8918498533846568,-1.0747188683464246
119,71,7,2335.48,0.7247912989429844,0,0.5810868427094315,1.3697812941286351
120,82,6,5537.49,0.47753956934095554,1,0.9445496452564451,0.17467422527893295
121,18,8,4576.5,0.6652081086148438,1,1.6408308546774153,1.088762402911162
122,6,9,4931.9,0.7272639099464453,1,2.074918759132285,1.396265781929809
123,75,3,1456.67,0.32260243248030473,2,-0.8103539143282028,-0.621424873755978
124,228,5,2276.83,0.17703634716937375,2,-0.792926996468421,-1.3378862701661736
125,137,5,567.03,0.2595546137793592,2,-0.7191499160050682,-0.9468787793170838
126,135,6,5577.389999999999,0.3989754520383795,1,0.6913132761591563,-0.21309203747040767
127,41,7,10252.2,0.6726103361457452,1,2.48256921950117,1.180676072251621
128,134,2,2144.87,0.7025114082794405,0,-1.2633773987000048,1.2765477607339848
129,109,4,834.76,0.1048664913718335,2,-0.812610637425078,-1.7101832684595493
130,49,8,7878.16,0.45752311180429606,1,2.2227890625433244,0.08838062367135975
131,31,3,2176.4300000000003,0.39218770220414534,2,-0.4338507222398926,-0.2710873142284939
132,150,9,8851.13,0.2554754673295112,1,2.23791220003643,-0.9056997763333969
133,38,5,3901.07,0.18390575713357799,2,0.5147859416304239,-1.2961874094105512
134,59,2,4933.2,0.3363306199825396,2,-0.26014908892144706,-0.519282627848255
135,245,4,5332.75,0.7600367927387635,0,-0.5196681027610017,1.5881584118115168
136,158,5,846.8199999999999,0.3262420524145287,2,-0.764431650730945,-0.6124875997207807
137,455,2,201.45,0.46315343522035635,3,-3.28807477460942,0.08248634396883316
138,243,3,628.84,0.5921132712266245,3,-1.8414574300803301,0.7154587095562718
139,90,3,322.16,0.35454072166550576,2,-1.1371139038518292,-0.4724838829191923
140,49,7,4432.21,0.7802474579046725,0,1.1525526784677051,1.663139660392923
141,272,2,263.71000000000004,0.7737131064594779,3,-2.370801375112091,1.6182556460015034
142,101,6,8691.31,0.2762476070777549,1,1.5535465460104738,-0.7957347458091506
143,153,4,812.24,0.4480739541246699,0,-1.0488919858531753,-0.004724615435190803
144,10,8,2096.12,0.31061481687173875,2,1.1444631423193774,-0.6943748990405939
145,147,4,737.4300000000001,0.2993883460642274,2,-1.030456989289169,-0.7438483787059096
146,14,6,9593.929999999998,0.12582086314817298,1,2.1926311917765218,-1.5377080158223757
147,38,8,9643.77,0.5266950337859279,1,2.6656653447860084,0.4472702418558707
148,151,4,1548.21,0.45187531626020305,0,-0.876353945329839,0.020683593872524525
149,19,5,6468.17,0.13603512587499256,2,1.1787163622389336,-1.5115180375321116
150,5,5,1737.06,0.29505252496562806,2,0.1975297460282097,-0.7649819413449203
151,144,6,3691.6299999999997,0.7357861201766577,0,0.21820254084113866,1.4425893998104182
152,427,3,723.35,0.2676933234668807,3,-2.728606514654132,-0.8876831992004115
153,41,7,4369.9,0.20142641046385618,2,1.1982177586295977,-1.2115889465758753
154,3,5,2432.32,0.4426169321942941,2,0.3562302467839981,-0.026148697485395913
155,342,2,1565.07,0.7899553178774206,3,-2.4333022544749356,1.7131588946607972
156,4,10,8351.199999999999,0.2694386900580503,1,3.1538006853954035,-0.8495885638986733
157,22,5,1200.82,0.570494883184115,0,-0.015174935232580945,0.5984137698247977
158,195,2,801.86,0.6331337307301024,3,-1.8625533434487842,0.9222706321616752
159,256,3,1971.38,0.2663462807946798,3,-1.5986662467638653,-0.8894580796589844
160,133,5,5416.51,0.6097514440283017,0,0.36095894251789445,0.8352591151802978
161,82,6,2988.58,0.3574481929034773,2,0.385186077220823,-0.4444705289394027
162,104,6,3032.9799999999996,0.5426140814155057,0,0.2788918715988858,0.47609530988666343
163,124,4,411.99,0.5434707975326264,0,-0.9957375067879148,0.4642646801592896
164,49,3,1732.27,0.47504227885233097,0,-0.6247140408672394,0.1369641767521594
165,150,1,126.12,0.16320283903808583,3,-2.0690417725412926,-1.415326021409688
166,7,2,606.75,0.6847117469124666,0,-0.9684794009318961,1.1696886005291263
167,152,5,3222.73,0.32454604548021515,2,-0.20924220126193058,-0.5997972000151662
168,33,8,2578.93,0.23056295727989798,2,1.1390071102138717,-1.0866551162302271
169,246,3,3164.2200000000003,0.12854259908833476,3,-1.280421391943846,-1.5633182283356082
170,22,5,1572.1,0.5136250602317693,0,0.06880628402506271,0.3193858289920906
